id,value
Sample,
Sample.Topic 0,
Sample.Topic 0.choy,0.03013536
Sample.Topic 0.rib,0.013540774
Sample.Topic 0.card,0.011834954
Sample.Topic 0.miss,0.011397098
Sample.Topic 0.weeks,0.011033558
Sample.Topic 0.paid,0.0105455
Sample.Topic 0.vegan,0.009631047
Sample.Topic 0.cons,0.009186427
Sample.Topic 0.recommendations,0.009123065
Sample.Topic 0.pig,0.0090921605
Sample.Topic 0.mustard,0.008396873
Sample.Topic 0.mins,0.008214593
Sample.Topic 0.placed,0.0074330163
Sample.Topic 0.udon,0.0073374454
Sample.Topic 0.cucumber,0.0073170695
Sample.Topic 1,
Sample.Topic 1.fat,0.026381703
Sample.Topic 1.oily,0.013818464
Sample.Topic 1.salad,0.012034773
Sample.Topic 1.yum,0.011332254
Sample.Topic 1.beijing,0.011117206
Sample.Topic 1.fries,0.011106869
Sample.Topic 1.pickled,0.011012753
Sample.Topic 1.13,0.010999445
Sample.Topic 1.kimchi,0.0108371675
Sample.Topic 1.chop,0.0101617295
Sample.Topic 1.wings,0.009778658
Sample.Topic 1.cheaper,0.009145557
Sample.Topic 1.bomb,0.008842887
Sample.Topic 1.mild,0.008783842
Sample.Topic 1.rich,0.008696489
Sample.Topic 2,
Sample.Topic 2.food,0.025506355
Sample.Topic 2.place,0.018096486
Sample.Topic 2.good,0.015616577
Sample.Topic 2.great,0.014717888
Sample.Topic 2.chinese,0.014574245
Sample.Topic 2.service,0.012720444
Sample.Topic 2.restaurant,0.009843786
Sample.Topic 2.try,0.0085892
Sample.Topic 2.definitely,0.0083996095
Sample.Topic 2.best,0.006639262
Sample.Topic 2.love,0.0066368473
Sample.Topic 2.friendly,0.006636449
Sample.Topic 2.vegas,0.006482457
Sample.Topic 2.ve,0.006350084
Sample.Topic 2.prices,0.006264671
Sample.Topic 3,
Sample.Topic 3.chicken,0.021985622
Sample.Topic 3.beef,0.015671343
Sample.Topic 3.rice,0.01493284
Sample.Topic 3.soup,0.014130526
Sample.Topic 3.fried,0.013374379
Sample.Topic 3.ordered,0.012769619
Sample.Topic 3.sauce,0.012072399
Sample.Topic 3.good,0.01180876
Sample.Topic 3.noodles,0.0110694375
Sample.Topic 3.pork,0.01060154
Sample.Topic 3.spicy,0.010042167
Sample.Topic 3.egg,0.008543755
Sample.Topic 3.flavor,0.008313826
Sample.Topic 3.shrimp,0.007948159
Sample.Topic 3.dish,0.007894876
Sample.Topic 4,
Sample.Topic 4.helpful,0.01617982
Sample.Topic 4.koi,0.012428486
Sample.Topic 4.breakfast,0.009485584
Sample.Topic 4.outstanding,0.009318748
Sample.Topic 4.crisp,0.00916987
Sample.Topic 4.bowls,0.008496399
Sample.Topic 4.pros,0.0084512485
Sample.Topic 4.management,0.007761751
Sample.Topic 4.rating,0.007603202
Sample.Topic 4.closed,0.0071683694
Sample.Topic 4.comfortable,0.0070394417
Sample.Topic 4.concept,0.0062289136
Sample.Topic 4.wonder,0.0061787562
Sample.Topic 4.bought,0.0058757523
Sample.Topic 4.california,0.00568418
Sample.Topic 5,
Sample.Topic 5.ice,0.009640041
Sample.Topic 5.bao,0.008220626
Sample.Topic 5.lamb,0.007205522
Sample.Topic 5.food,0.005232829
Sample.Topic 5.duck,0.00507867
Sample.Topic 5.shaved,0.004944151
Sample.Topic 5.broth,0.0048726867
Sample.Topic 5.just,0.004662921
Sample.Topic 5.like,0.0045207054
Sample.Topic 5.tender,0.0043081464
Sample.Topic 5.portion,0.004099591
Sample.Topic 5.good,0.0040824506
Sample.Topic 5.absolutely,0.0040686564
Sample.Topic 5.place,0.0040419865
Sample.Topic 5.won,0.003994983
Sample.Topic 6,
Sample.Topic 6.pork,0.017337985
Sample.Topic 6.buns,0.014149037
Sample.Topic 6.dessert,0.013348625
Sample.Topic 6.dumpling,0.012884455
Sample.Topic 6.roti,0.012717947
Sample.Topic 6.garlic,0.0120439725
Sample.Topic 6.dumplings,0.01162861
Sample.Topic 6.shrimp,0.010437922
Sample.Topic 6.pao,0.010043341
Sample.Topic 6.steamed,0.009993411
Sample.Topic 6.salt,0.009304906
Sample.Topic 6.fat,0.008835025
Sample.Topic 6.pepper,0.008682516
Sample.Topic 6.kung,0.0074701225
Sample.Topic 6.pot,0.0074562705
Sample.Topic 7,
Sample.Topic 7.stars,0.029778993
Sample.Topic 7.mango,0.013509478
Sample.Topic 7.review,0.012113055
Sample.Topic 7.dim,0.009545984
Sample.Topic 7.sum,0.009367184
Sample.Topic 7.star,0.009307012
Sample.Topic 7.glad,0.008801864
Sample.Topic 7.taiwan,0.008607432
Sample.Topic 7.recommended,0.007786956
Sample.Topic 7.hope,0.0076452945
Sample.Topic 7.reviews,0.007186475
Sample.Topic 7.overall,0.0071231956
Sample.Topic 7.14,0.007028471
Sample.Topic 7.based,0.006171567
Sample.Topic 7.mini,0.006145361
Sample.Topic 8,
Sample.Topic 8.food,0.009440041
Sample.Topic 8.service,0.007826322
Sample.Topic 8.place,0.007552137
Sample.Topic 8.order,0.0075302185
Sample.Topic 8.just,0.0065796366
Sample.Topic 8.time,0.0065192254
Sample.Topic 8.restaurant,0.0059419153
Sample.Topic 8.like,0.0055688024
Sample.Topic 8.came,0.0053276145
Sample.Topic 8.good,0.0049600834
Sample.Topic 8.menu,0.0049495585
Sample.Topic 8.wait,0.004797669
Sample.Topic 8.really,0.004632786
Sample.Topic 8.tea,0.0045818975
Sample.Topic 8.got,0.004526848
Sample.Topic 9,
Sample.Topic 9.belly,0.03504764
Sample.Topic 9.95,0.03170801
Sample.Topic 9.clever,0.025549758
Sample.Topic 9.peking,0.018573683
Sample.Topic 9.wonton,0.015194702
Sample.Topic 9.99,0.014242265
Sample.Topic 9.sad,0.014196672
Sample.Topic 9.grand,0.012310667
Sample.Topic 9.11,0.011064976
Sample.Topic 9.fluffy,0.010775555
Sample.Topic 9.stew,0.010318599
Sample.Topic 9.pricing,0.009334918
Sample.Topic 9.scallops,0.009036611
