id,value
Sample,
Sample.Topic 0,
Sample.Topic 0.pizza,0.018830612
Sample.Topic 0.good,0.011252353
Sample.Topic 0.salad,0.011220732
Sample.Topic 0.sauce,0.0111509515
Sample.Topic 0.cheese,0.0097149005
Sample.Topic 0.ordered,0.009327258
Sample.Topic 0.pasta,0.008047078
Sample.Topic 0.chicken,0.00765111
Sample.Topic 0.fresh,0.007605883
Sample.Topic 0.crust,0.007333714
Sample.Topic 0.delicious,0.007050001
Sample.Topic 0.bread,0.0070014363
Sample.Topic 0.like,0.006499291
Sample.Topic 0.meatballs,0.0060552983
Sample.Topic 0.just,0.0060152966
Sample.Topic 1,
Sample.Topic 1.margherita,0.01705182
Sample.Topic 1.airport,0.014444993
Sample.Topic 1.concept,0.012603693
Sample.Topic 1.calzone,0.011997751
Sample.Topic 1.11,0.01056232
Sample.Topic 1.modern,0.010422615
Sample.Topic 1.00,0.009442684
Sample.Topic 1.com,0.009221423
Sample.Topic 1.square,0.0090326695
Sample.Topic 1.select,0.0079187695
Sample.Topic 1.sugar,0.007897353
Sample.Topic 1.experienced,0.0076836227
Sample.Topic 1.http,0.007498209
Sample.Topic 1.yelp,0.0074907704
Sample.Topic 1.sticks,0.007292333
Sample.Topic 2,
Sample.Topic 2.dessert,0.010382663
Sample.Topic 2.las,0.0091092745
Sample.Topic 2.meatball,0.008600394
Sample.Topic 2.prosciutto,0.008055113
Sample.Topic 2.opening,0.007754327
Sample.Topic 2.pork,0.007366236
Sample.Topic 2.tiramisu,0.006097397
Sample.Topic 2.salmon,0.005990366
Sample.Topic 2.burger,0.0055175093
Sample.Topic 2.egg,0.0054311035
Sample.Topic 2.breakfast,0.004931205
Sample.Topic 2.bolognese,0.004908574
Sample.Topic 2.truffle,0.0048713735
Sample.Topic 2.polenta,0.0047940626
Sample.Topic 2.chose,0.004702481
Sample.Topic 3,
Sample.Topic 3.strip,0.013294918
Sample.Topic 3.patio,0.00936084
Sample.Topic 3.place,0.008440642
Sample.Topic 3.highly,0.0081694005
Sample.Topic 3.parking,0.007999088
Sample.Topic 3.decor,0.007957413
Sample.Topic 3.person,0.0070850644
Sample.Topic 3.space,0.0069844984
Sample.Topic 3.recommend,0.006450059
Sample.Topic 3.cookie,0.0064180675
Sample.Topic 3.restaurant,0.005704497
Sample.Topic 3.love,0.0056537488
Sample.Topic 3.seating,0.005568121
Sample.Topic 3.omg,0.0055395872
Sample.Topic 3.bar,0.005538717
Sample.Topic 4,
Sample.Topic 4.food,0.029489687
Sample.Topic 4.great,0.027259886
Sample.Topic 4.service,0.02699128
Sample.Topic 4.good,0.01680907
Sample.Topic 4.place,0.014337878
Sample.Topic 4.friendly,0.011650991
Sample.Topic 4.staff,0.010907782
Sample.Topic 4.pizza,0.009218492
Sample.Topic 4.prices,0.008564699
Sample.Topic 4.atmosphere,0.008372787
Sample.Topic 4.wine,0.008163328
Sample.Topic 4.definitely,0.008150899
Sample.Topic 4.nice,0.008062699
Sample.Topic 4.experience,0.008020289
Sample.Topic 4.excellent,0.007749137
Sample.Topic 5,
Sample.Topic 5.vegas,0.033284586
Sample.Topic 5.steak,0.01571061
Sample.Topic 5.french,0.0098455055
Sample.Topic 5.rib,0.008103915
Sample.Topic 5.heaven,0.008000325
Sample.Topic 5.lamb,0.007668993
Sample.Topic 5.bbq,0.007483315
Sample.Topic 5.turkey,0.0073843086
Sample.Topic 5.delightful,0.0073519493
Sample.Topic 5.spectacular,0.007193191
Sample.Topic 5.specialty,0.006865541
Sample.Topic 5.fabulous,0.0068050404
Sample.Topic 5.disappoint,0.0067708143
Sample.Topic 5.mouth,0.006619259
Sample.Topic 5.toasted,0.006418902
Sample.Topic 6,
Sample.Topic 6.stars,0.030567253
Sample.Topic 6.risotto,0.022035496
Sample.Topic 6.beef,0.019136135
Sample.Topic 6.east,0.012938856
Sample.Topic 6.refreshing,0.011804139
Sample.Topic 6.gravy,0.011446996
Sample.Topic 6.upscale,0.011376141
Sample.Topic 6.rigatoni,0.011347414
Sample.Topic 6.margarita,0.011122112
Sample.Topic 6.belly,0.010864737
Sample.Topic 6.salt,0.010757907
Sample.Topic 6.chili,0.01048778
Sample.Topic 6.pancetta,0.009840567
Sample.Topic 6.coast,0.009303129
Sample.Topic 6.short,0.008760426
Sample.Topic 7,
Sample.Topic 7.table,0.009641666
Sample.Topic 7.minutes,0.008266416
Sample.Topic 7.hour,0.008232968
Sample.Topic 7.server,0.007910828
Sample.Topic 7.came,0.0075007346
Sample.Topic 7.wait,0.006770713
Sample.Topic 7.order,0.0065785157
Sample.Topic 7.bar,0.0064999117
Sample.Topic 7.night,0.0062220716
Sample.Topic 7.time,0.006058166
Sample.Topic 7.asked,0.006043444
Sample.Topic 7.got,0.005896805
Sample.Topic 7.service,0.0058175027
Sample.Topic 7.told,0.0053219483
Sample.Topic 7.fries,0.0053161117
Sample.Topic 8,
Sample.Topic 8.knots,0.014128703
Sample.Topic 8.music,0.014078081
Sample.Topic 8.chocolate,0.013944305
Sample.Topic 8.thanks,0.010985273
Sample.Topic 8.arugula,0.010659843
Sample.Topic 8.opened,0.010049442
Sample.Topic 8.loud,0.009649756
Sample.Topic 8.located,0.008774772
Sample.Topic 8.veal,0.008404788
Sample.Topic 8.lemon,0.00759711
Sample.Topic 8.exceptional,0.0068823006
Sample.Topic 8.pros,0.0068522906
Sample.Topic 8.accommodating,0.0065913135
Sample.Topic 8.perfection,0.0065520266
Sample.Topic 8.hear,0.0063812393
Sample.Topic 9,
Sample.Topic 9.pizza,0.018527122
Sample.Topic 9.place,0.016243719
Sample.Topic 9.food,0.00933133
Sample.Topic 9.try,0.00870805
Sample.Topic 9.great,0.00858908
Sample.Topic 9.restaurant,0.008092811
Sample.Topic 9.good,0.008068242
Sample.Topic 9.time,0.0076087485
Sample.Topic 9.new,0.0073933634
Sample.Topic 9.like,0.006333246
Sample.Topic 9.just,0.0061763963
Sample.Topic 9.ve,0.0060516507
