id,value
Bad reviews,
Bad reviews.Topic 0,
Bad reviews.Topic 0.pad,0.008592955
Bad reviews.Topic 0.tempura,0.005896718
Bad reviews.Topic 0.smoothie,0.004507985
Bad reviews.Topic 0.delivery,0.0044954587
Bad reviews.Topic 0.pudding,0.004309646
Bad reviews.Topic 0.gyros,0.0041210796
Bad reviews.Topic 0.owner,0.0036994205
Bad reviews.Topic 0.subpar,0.0028738717
Bad reviews.Topic 0.cuban,0.0027902045
Bad reviews.Topic 0.rushed,0.002767792
Bad reviews.Topic 0.rip,0.0027561416
Bad reviews.Topic 0.spanish,0.0027480777
Bad reviews.Topic 0.30pm,0.0027210433
Bad reviews.Topic 0.chorizo,0.002380779
Bad reviews.Topic 0.tofu,0.002363205
Bad reviews.Topic 1,
Bad reviews.Topic 1.authentic,0.024311122
Bad reviews.Topic 1.pei,0.006798925
Bad reviews.Topic 1.wei,0.006738828
Bad reviews.Topic 1.ive,0.0053929808
Bad reviews.Topic 1.oxtail,0.004263707
Bad reviews.Topic 1.ugly,0.003875876
Bad reviews.Topic 1.ac,0.003846858
Bad reviews.Topic 1.followed,0.003771592
Bad reviews.Topic 1.panda,0.0036964386
Bad reviews.Topic 1.shells,0.0036803305
Bad reviews.Topic 1.temp,0.0035711122
Bad reviews.Topic 1.discovered,0.0030611062
Bad reviews.Topic 1.curry,0.0029956591
Bad reviews.Topic 1.prosciutto,0.0029705742
Bad reviews.Topic 1.alley,0.0028117732
Bad reviews.Topic 2,
Bad reviews.Topic 2.lamb,0.009883079
Bad reviews.Topic 2.buffets,0.0065704025
Bad reviews.Topic 2.sashimi,0.005344681
Bad reviews.Topic 2.sake,0.0042866254
Bad reviews.Topic 2.steamed,0.004163043
Bad reviews.Topic 2.brisket,0.0040817573
Bad reviews.Topic 2.gelato,0.004079054
Bad reviews.Topic 2.pan,0.0035665897
Bad reviews.Topic 2.tempe,0.003006476
Bad reviews.Topic 2.suppose,0.0028940698
Bad reviews.Topic 2.jungle,0.002893606
Bad reviews.Topic 2.leaves,0.0028679045
Bad reviews.Topic 2.truck,0.002738825
Bad reviews.Topic 2.desired,0.0027321738
Bad reviews.Topic 2.truly,0.0027009314
Bad reviews.Topic 3,
Bad reviews.Topic 3.indian,0.022378827
Bad reviews.Topic 3.vegan,0.013774312
Bad reviews.Topic 3.mussels,0.007608817
Bad reviews.Topic 3.wynn,0.0068584746
Bad reviews.Topic 3.bellagio,0.006795728
Bad reviews.Topic 3.chinatown,0.0066883643
Bad reviews.Topic 3.mongolian,0.0064573525
Bad reviews.Topic 3.ceviche,0.0055103167
Bad reviews.Topic 3.scallop,0.0041879453
Bad reviews.Topic 3.certificate,0.004142647
Bad reviews.Topic 3.pet,0.0037635206
Bad reviews.Topic 3.sloppy,0.0035420312
Bad reviews.Topic 3.cheeses,0.0035111893
Bad reviews.Topic 3.happening,0.003422692
Bad reviews.Topic 3.instant,0.003403248
Bad reviews.Topic 4,
Bad reviews.Topic 4.bowls,0.008057328
Bad reviews.Topic 4.mediterranean,0.0072798193
Bad reviews.Topic 4.edinburgh,0.006100376
Bad reviews.Topic 4.tail,0.0052348156
Bad reviews.Topic 4.jerk,0.0047727227
Bad reviews.Topic 4.subway,0.0045803944
Bad reviews.Topic 4.fox,0.0037253539
Bad reviews.Topic 4.clothes,0.0031550373
Bad reviews.Topic 4.policy,0.0030746793
Bad reviews.Topic 4.lotus,0.0030157994
Bad reviews.Topic 4.action,0.0029800152
Bad reviews.Topic 4.nom,0.0029142557
Bad reviews.Topic 4.28,0.0028777155
Bad reviews.Topic 4.mojitos,0.0028069527
Bad reviews.Topic 4.argued,0.0026132578
Bad reviews.Topic 5,
Bad reviews.Topic 5.good,0.006805581
Bad reviews.Topic 5.place,0.0053441473
