id,value
Good reviews,
Good reviews.Topic 0,
Good reviews.Topic 0.food,0.008857712
Good reviews.Topic 0.great,0.008494681
Good reviews.Topic 0.good,0.007819165
Good reviews.Topic 0.place,0.007742947
Good reviews.Topic 0.service,0.005875488
Good reviews.Topic 0.really,0.004684493
Good reviews.Topic 0.sushi,0.004580987
Good reviews.Topic 0.time,0.004558529
Good reviews.Topic 0.love,0.004189093
Good reviews.Topic 0.like,0.004180622
Good reviews.Topic 0.just,0.004177769
Good reviews.Topic 0.restaurant,0.004153235
Good reviews.Topic 0.best,0.004001652
Good reviews.Topic 0.nice,0.0037960229
Good reviews.Topic 0.delicious,0.0037168756
Good reviews.Topic 1,
Good reviews.Topic 1.pho,0.08545074
Good reviews.Topic 1.poke,0.010741592
Good reviews.Topic 1.smoothies,0.010465257
Good reviews.Topic 1.taro,0.008446759
Good reviews.Topic 1.banh,0.0074089454
Good reviews.Topic 1.mi,0.007007764
Good reviews.Topic 1.mochi,0.006473672
Good reviews.Topic 1.edamame,0.006070815
Good reviews.Topic 1.bistro,0.0058739414
Good reviews.Topic 1.decoration,0.0051999614
Good reviews.Topic 1.whisky,0.0047341767
Good reviews.Topic 1.spring,0.0046851956
Good reviews.Topic 1.goods,0.0046523735
Good reviews.Topic 1.pistachio,0.004624223
Good reviews.Topic 1.lentil,0.004432653
Good reviews.Topic 2,
Good reviews.Topic 2.tempura,0.017114846
Good reviews.Topic 2.fatty,0.0133957965
Good reviews.Topic 2.mesa,0.010355252
Good reviews.Topic 2.jungle,0.010292136
Good reviews.Topic 2.almond,0.010234143
Good reviews.Topic 2.china,0.008209975
Good reviews.Topic 2.pong,0.007011636
Good reviews.Topic 2.combinations,0.006814098
Good reviews.Topic 2.ping,0.006157122
Good reviews.Topic 2.bobby,0.0058926586
Good reviews.Topic 2.hipsters,0.0053265234
Good reviews.Topic 2.catered,0.0045694797
Good reviews.Topic 2.broke,0.004487997
Good reviews.Topic 2.cones,0.004412849
Good reviews.Topic 2.drawback,0.004280554
Good reviews.Topic 3,
Good reviews.Topic 3.donuts,0.01366324
Good reviews.Topic 3.gyros,0.008003459
Good reviews.Topic 3.eastern,0.005979975
Good reviews.Topic 3.blown,0.0052975053
Good reviews.Topic 3.belly,0.005269711
Good reviews.Topic 3.pig,0.0052023684
Good reviews.Topic 3.brazilian,0.00513576
Good reviews.Topic 3.dance,0.0045793746
Good reviews.Topic 3.soy,0.003974738
Good reviews.Topic 3.wasnt,0.0037076776
